library,type,name,width_um,height_um,area_um2
gf180mcu_fd_sc_mcu7t5v0,addf,gf180mcu_fd_sc_mcu7t5v0__addf_1,18.48,3.92,72.4416
gf180mcu_fd_sc_mcu7t5v0,addf,gf180mcu_fd_sc_mcu7t5v0__addf_2,20.16,3.92,79.0272
gf180mcu_fd_sc_mcu7t5v0,addf,gf180mcu_fd_sc_mcu7t5v0__addf_4,24.64,3.92,96.5888
gf180mcu_fd_sc_mcu7t5v0,addh,gf180mcu_fd_sc_mcu7t5v0__addh_1,10.08,3.92,39.5136
gf180mcu_fd_sc_mcu7t5v0,addh,gf180mcu_fd_sc_mcu7t5v0__addh_2,12.32,3.92,48.2944
gf180mcu_fd_sc_mcu7t5v0,addh,gf180mcu_fd_sc_mcu7t5v0__addh_4,22.4,3.92,87.80799999999999
gf180mcu_fd_sc_mcu7t5v0,and2,gf180mcu_fd_sc_mcu7t5v0__and2_1,4.48,3.92,17.561600000000002
gf180mcu_fd_sc_mcu7t5v0,and2,gf180mcu_fd_sc_mcu7t5v0__and2_2,5.04,3.92,19.7568
gf180mcu_fd_sc_mcu7t5v0,and2,gf180mcu_fd_sc_mcu7t5v0__and2_4,9.52,3.92,37.3184
gf180mcu_fd_sc_mcu7t5v0,and3,gf180mcu_fd_sc_mcu7t5v0__and3_1,5.6,3.92,21.951999999999998
gf180mcu_fd_sc_mcu7t5v0,and3,gf180mcu_fd_sc_mcu7t5v0__and3_2,6.16,3.92,24.1472
gf180mcu_fd_sc_mcu7t5v0,and3,gf180mcu_fd_sc_mcu7t5v0__and3_4,11.2,3.92,43.903999999999996
gf180mcu_fd_sc_mcu7t5v0,and4,gf180mcu_fd_sc_mcu7t5v0__and4_1,6.16,3.92,24.1472
gf180mcu_fd_sc_mcu7t5v0,and4,gf180mcu_fd_sc_mcu7t5v0__and4_2,7.28,3.92,28.5376
gf180mcu_fd_sc_mcu7t5v0,and4,gf180mcu_fd_sc_mcu7t5v0__and4_4,13.44,3.92,52.684799999999996
gf180mcu_fd_sc_mcu7t5v0,antenna,gf180mcu_fd_sc_mcu7t5v0__antenna,1.12,3.92,4.3904000000000005
gf180mcu_fd_sc_mcu7t5v0,aoi211,gf180mcu_fd_sc_mcu7t5v0__aoi211_1,5.6,3.92,21.951999999999998
gf180mcu_fd_sc_mcu7t5v0,aoi211,gf180mcu_fd_sc_mcu7t5v0__aoi211_2,9.52,3.92,37.3184
gf180mcu_fd_sc_mcu7t5v0,aoi211,gf180mcu_fd_sc_mcu7t5v0__aoi211_4,20.16,3.92,79.0272
gf180mcu_fd_sc_mcu7t5v0,aoi21,gf180mcu_fd_sc_mcu7t5v0__aoi21_1,4.48,3.92,17.561600000000002
gf180mcu_fd_sc_mcu7t5v0,aoi21,gf180mcu_fd_sc_mcu7t5v0__aoi21_2,7.28,3.92,28.5376
gf180mcu_fd_sc_mcu7t5v0,aoi21,gf180mcu_fd_sc_mcu7t5v0__aoi21_4,13.44,3.92,52.684799999999996
gf180mcu_fd_sc_mcu7t5v0,aoi221,gf180mcu_fd_sc_mcu7t5v0__aoi221_1,6.16,3.92,24.1472
gf180mcu_fd_sc_mcu7t5v0,aoi221,gf180mcu_fd_sc_mcu7t5v0__aoi221_2,12.88,3.92,50.4896
gf180mcu_fd_sc_mcu7t5v0,aoi221,gf180mcu_fd_sc_mcu7t5v0__aoi221_4,22.4,3.92,87.80799999999999
gf180mcu_fd_sc_mcu7t5v0,aoi222,gf180mcu_fd_sc_mcu7t5v0__aoi222_1,7.84,3.92,30.732799999999997
gf180mcu_fd_sc_mcu7t5v0,aoi222,gf180mcu_fd_sc_mcu7t5v0__aoi222_4,26.32,3.92,103.1744
gf180mcu_fd_sc_mcu7t5v0,aoi22,gf180mcu_fd_sc_mcu7t5v0__aoi22_1,5.04,3.92,19.7568
gf180mcu_fd_sc_mcu7t5v0,aoi22,gf180mcu_fd_sc_mcu7t5v0__aoi22_2,8.96,3.92,35.123200000000004
gf180mcu_fd_sc_mcu7t5v0,aoi22,gf180mcu_fd_sc_mcu7t5v0__aoi22_4,17.92,3.92,70.24640000000001
gf180mcu_fd_sc_mcu7t5v0,buf,gf180mcu_fd_sc_mcu7t5v0__buf_1,3.36,3.92,13.171199999999999
gf180mcu_fd_sc_mcu7t5v0,buf,gf180mcu_fd_sc_mcu7t5v0__buf_12,21.28,3.92,83.41760000000001
gf180mcu_fd_sc_mcu7t5v0,buf,gf180mcu_fd_sc_mcu7t5v0__buf_2,4.48,3.92,17.561600000000002
gf180mcu_fd_sc_mcu7t5v0,buf,gf180mcu_fd_sc_mcu7t5v0__buf_20,34.72,3.92,136.1024
gf180mcu_fd_sc_mcu7t5v0,buf,gf180mcu_fd_sc_mcu7t5v0__buf_3,5.6,3.92,21.951999999999998
gf180mcu_fd_sc_mcu7t5v0,buf,gf180mcu_fd_sc_mcu7t5v0__buf_4,7.84,3.92,30.732799999999997
gf180mcu_fd_sc_mcu7t5v0,buf,gf180mcu_fd_sc_mcu7t5v0__buf_8,14.56,3.92,57.0752
gf180mcu_fd_sc_mcu7t5v0,bufz,gf180mcu_fd_sc_mcu7t5v0__bufz_1,7.84,3.92,30.732799999999997
gf180mcu_fd_sc_mcu7t5v0,bufz,gf180mcu_fd_sc_mcu7t5v0__bufz_12,25.76,3.92,100.9792
gf180mcu_fd_sc_mcu7t5v0,bufz,gf180mcu_fd_sc_mcu7t5v0__bufz_16,32.48,3.92,127.32159999999999
gf180mcu_fd_sc_mcu7t5v0,bufz,gf180mcu_fd_sc_mcu7t5v0__bufz_2,8.4,3.92,32.928
gf180mcu_fd_sc_mcu7t5v0,bufz,gf180mcu_fd_sc_mcu7t5v0__bufz_3,11.2,3.92,43.903999999999996
gf180mcu_fd_sc_mcu7t5v0,bufz,gf180mcu_fd_sc_mcu7t5v0__bufz_4,12.32,3.92,48.2944
gf180mcu_fd_sc_mcu7t5v0,bufz,gf180mcu_fd_sc_mcu7t5v0__bufz_8,19.04,3.92,74.6368
gf180mcu_fd_sc_mcu7t5v0,clkbuf,gf180mcu_fd_sc_mcu7t5v0__clkbuf_1,3.36,3.92,13.171199999999999
gf180mcu_fd_sc_mcu7t5v0,clkbuf,gf180mcu_fd_sc_mcu7t5v0__clkbuf_12,21.28,3.92,83.41760000000001
gf180mcu_fd_sc_mcu7t5v0,clkbuf,gf180mcu_fd_sc_mcu7t5v0__clkbuf_2,4.48,3.92,17.561600000000002
gf180mcu_fd_sc_mcu7t5v0,clkbuf,gf180mcu_fd_sc_mcu7t5v0__clkbuf_20,34.72,3.92,136.1024
gf180mcu_fd_sc_mcu7t5v0,clkbuf,gf180mcu_fd_sc_mcu7t5v0__clkbuf_3,7.84,3.92,30.732799999999997
